id,name,html_url,forks,stars,size,language,watchers,pull_requests,contributors,commits
12089111,pacman-osx-pkgs,https://github.com/kladd/pacman-osx-pkgs,4,7,284,Shell,https://api.github.com/repos/kladd/pacman-osx-pkgs/contributors,5,0,-1,78
9902456,cs56-games-pacman,https://github.com/UCSB-CS56-Projects/cs56-games-pacman,9,0,584,Java,https://api.github.com/repos/UCSB-CS56-Projects/cs56-games-pacman/contributors,3,0,-1,187
32274009,assembly-pacman,https://github.com/mkhatib/assembly-pacman,2,4,148,Assembly,https://api.github.com/repos/mkhatib/assembly-pacman/contributors,1,0,-1,2
24183731,pacman,https://github.com/haryvc11/pacman,0,0,124,,https://api.github.com/repos/haryvc11/pacman/contributors,1,0,-1,1
25688705,PacMan,https://github.com/yasenm/PacMan,0,0,1228,JavaScript,https://api.github.com/repos/yasenm/PacMan/contributors,2,0,-1,2
25693291,pacman,https://github.com/cryptum7/pacman,0,0,116,Assembly,https://api.github.com/repos/cryptum7/pacman/contributors,1,0,-1,2
25830663,pacman,https://github.com/akiyokota/pacman,0,0,108,C++,https://api.github.com/repos/akiyokota/pacman/contributors,1,0,-1,1
25831077,PacMan,https://github.com/sziggy/PacMan,0,0,552,Java,https://api.github.com/repos/sziggy/PacMan/contributors,2,0,-1,16
24952753,Pacman,https://github.com/TodorIvanov/Pacman,0,0,0,,https://api.github.com/repos/TodorIvanov/Pacman/contributors,1,0,-1,1
25104720,pacman,https://github.com/Pronicoctus/pacman,0,0,0,,https://api.github.com/repos/Pronicoctus/pacman/contributors,1,0,-1,-1
26726819,pacman,https://github.com/Zleub/pacman,0,0,320,Lua,https://api.github.com/repos/Zleub/pacman/contributors,1,0,-1,8
23589541,Pacman,https://github.com/dmorres/Pacman,0,0,0,,https://api.github.com/repos/dmorres/Pacman/contributors,1,0,-1,1
27565534,pacman,https://github.com/wofkaa/pacman,0,0,0,,https://api.github.com/repos/wofkaa/pacman/contributors,1,0,-1,-1
27920791,Pacman,https://github.com/Jhoogland/Pacman,1,0,592,Java,https://api.github.com/repos/Jhoogland/Pacman/contributors,2,0,-1,51
27909424,pacman,https://github.com/eshelDoron/pacman,0,0,128,,https://api.github.com/repos/eshelDoron/pacman/contributors,1,0,-1,4
27268677,Pacman,https://github.com/sefaYavuz/Pacman,1,0,684,Java,https://api.github.com/repos/sefaYavuz/Pacman/contributors,3,0,-1,93
27357782,pacman,https://github.com/PhilThomas/pacman,0,0,0,,https://api.github.com/repos/PhilThomas/pacman/contributors,1,0,-1,-1
24101795,pacman,https://github.com/rroart/pacman,0,0,164,Java,https://api.github.com/repos/rroart/pacman/contributors,1,0,-1,36
24118377,pacman,https://github.com/fieldsofgold/pacman,1,0,114,Java,https://api.github.com/repos/fieldsofgold/pacman/contributors,1,0,-1,2
24384965,PacMan,https://github.com/carlaecomp/PacMan,0,0,692,ASP,https://api.github.com/repos/carlaecomp/PacMan/contributors,1,0,-1,4
19447732,PacMan,https://github.com/limiaspasdaniel/PacMan,0,0,0,,https://api.github.com/repos/limiaspasdaniel/PacMan/contributors,1,0,-1,-1
19999385,pacman,https://github.com/FranciscoDA/pacman,0,1,184,Pascal,https://api.github.com/repos/FranciscoDA/pacman/contributors,1,0,-1,6
20015917,Pacman,https://github.com/ashwindos/Pacman,0,0,0,,https://api.github.com/repos/ashwindos/Pacman/contributors,1,0,-1,-1
19858657,paCman,https://github.com/pocketrocket/paCman,0,0,108,C,https://api.github.com/repos/pocketrocket/paCman/contributors,1,0,-1,1
19891467,Pacman,https://github.com/seamanmur/Pacman,0,0,1396,C#,https://api.github.com/repos/seamanmur/Pacman/contributors,1,0,-1,3
19954296,PacMan,https://github.com/devpilgrin/PacMan,0,0,8336,C#,https://api.github.com/repos/devpilgrin/PacMan/contributors,1,0,-1,2
19947335,PacMan,https://github.com/serreri-andrea/PacMan,0,0,1564,JavaScript,https://api.github.com/repos/serreri-andrea/PacMan/contributors,2,0,-1,1
20251812,PacMan,https://github.com/mraftx/PacMan,0,0,0,,https://api.github.com/repos/mraftx/PacMan/contributors,1,0,-1,-1
20072589,Pacman,https://github.com/Amriet/Pacman,0,0,480,Java,https://api.github.com/repos/Amriet/Pacman/contributors,2,0,-1,5
21166746,PacMan,https://github.com/PracticaVideojuegos/PacMan,0,0,47188,JavaScript,https://api.github.com/repos/PracticaVideojuegos/PacMan/contributors,1,0,-1,7
19549359,pacman,https://github.com/schorlet/pacman,0,0,7888,Go,https://api.github.com/repos/schorlet/pacman/contributors,1,0,-1,89
19088276,Pacman,https://github.com/libnyLimas/Pacman,1,0,4976,C++,https://api.github.com/repos/libnyLimas/Pacman/contributors,2,0,-1,7
19069934,Pacman,https://github.com/Mitchbos/Pacman,0,0,0,,https://api.github.com/repos/Mitchbos/Pacman/contributors,1,0,-1,-1
19442023,pacman,https://github.com/eduardovra/pacman,0,0,164,C++,https://api.github.com/repos/eduardovra/pacman/contributors,1,0,-1,2
22648748,Pacman,https://github.com/nicopini/Pacman,0,0,164,Java,https://api.github.com/repos/nicopini/Pacman/contributors,1,0,-1,3
22569360,Pacman,https://github.com/nathanmerrill/Pacman,1,1,805,Python,https://api.github.com/repos/nathanmerrill/Pacman/contributors,2,0,-1,29
22958924,PacMan,https://github.com/alejandrohall/PacMan,0,0,732,Java,https://api.github.com/repos/alejandrohall/PacMan/contributors,1,0,-1,4
23109909,pacman,https://github.com/charlie-boy/pacman,0,0,140,Python,https://api.github.com/repos/charlie-boy/pacman/contributors,1,0,-1,4
20598993,pacman,https://github.com/mooattyi/pacman,0,0,256,C++,https://api.github.com/repos/mooattyi/pacman/contributors,1,0,-1,16
20580811,PacMan,https://github.com/Sairen/PacMan,1,0,140,C#,https://api.github.com/repos/Sairen/PacMan/contributors,1,0,-1,2
20353084,Pacman,https://github.com/Allycen/Pacman,1,0,3632,C++,https://api.github.com/repos/Allycen/Pacman/contributors,1,0,-1,1
22118821,pacman,https://github.com/geastwood/pacman,0,0,224,JavaScript,https://api.github.com/repos/geastwood/pacman/contributors,1,0,-1,8
19123764,PacMan,https://github.com/jsparks15/PacMan,0,0,184,Processing,https://api.github.com/repos/jsparks15/PacMan/contributors,1,0,-1,9
19016134,pacman,https://github.com/ccampb13/pacman,0,0,180,JavaScript,https://api.github.com/repos/ccampb13/pacman/contributors,1,0,-1,1
1115067,Pacman,https://github.com/ronin13/Pacman,0,1,6600,C,https://api.github.com/repos/ronin13/Pacman/contributors,1,0,-1,3
1281247,Pacman,https://github.com/MariaanW/Pacman,0,1,48,,https://api.github.com/repos/MariaanW/Pacman/contributors,1,0,-1,-1
1337577,pacman,https://github.com/cookbooks/pacman,0,1,6560,Ruby,https://api.github.com/repos/cookbooks/pacman/contributors,2,0,-1,5
1429814,pacman,https://github.com/yfw/pacman,0,1,296,Python,https://api.github.com/repos/yfw/pacman/contributors,1,0,-1,4
2317246,Pacman,https://github.com/netopiax/Pacman,0,1,184,Ruby,https://api.github.com/repos/netopiax/Pacman/contributors,0,0,-1,2
2643132,Pacman,https://github.com/bmh10/Pacman,0,1,104,Java,https://api.github.com/repos/bmh10/Pacman/contributors,1,0,-1,1
2483332,Pacman,https://github.com/FourRand0m/Pacman,0,1,116,JavaScript,https://api.github.com/repos/FourRand0m/Pacman/contributors,1,0,-1,3
253520,pacman,https://github.com/redshift-xx/pacman,0,1,48,,https://api.github.com/repos/redshift-xx/pacman/contributors,2,0,-1,-1
