id,name,html_url,forks,stars,size,language
17524972,pacman,https://github.com/pawel-kieliszczyk/pacman,0,0,5184,C++
9510598,pacman,https://github.com/Dkilbot/pacman,0,0,112,
7731959,pacman,https://github.com/fearless1012/pacman,0,0,112,
9420006,pacman,https://github.com/leoabacade/pacman,0,0,56,
9728519,Pacman,https://github.com/CostinCarabas/Pacman,0,0,5784,Java
8352766,PacMan,https://github.com/sebcagnon/PacMan,0,0,164,Python
9013246,Pacman,https://github.com/joaoB/Pacman,0,0,368,C
8327638,pacman,https://github.com/no-no/pacman,0,0,2208,Java
8311897,Pacman,https://github.com/TeamGLPacman/Pacman,1,0,84541,C
11561407,pacman,https://github.com/appleseedez/pacman,0,1,112,
10901114,Pacman,https://github.com/vojtsek/Pacman,0,0,112,
11387302,PacMan,https://github.com/emdeha/PacMan,0,0,4792,Python
8574027,Pacman,https://github.com/xodzor/Pacman,0,0,1296,Objective-C
12555030,Pacman,https://github.com/miguis16/Pacman,0,0,112,C
13006469,pacman,https://github.com/alexrengifo/pacman,0,0,284,C++
13278408,Pacman,https://github.com/risapisa/Pacman,0,1,140,Java
12253178,Pacman,https://github.com/Sebac/Pacman,0,0,272,Python
8529827,pacman,https://github.com/RoadeoCowboy/pacman,0,0,368,
3981853,Pacman,https://github.com/limejuggler/Pacman,2,1,848,C++
6701717,pacman,https://github.com/nkrlab/pacman,0,1,461,Python
7248969,pacman,https://github.com/aljndr/pacman,0,0,308,JavaScript
7210919,Pacman,https://github.com/kxkyll/Pacman,0,0,416,JavaScript
44349311,pacman,https://github.com/RoyMontoya/pacman,0,0,184,JavaScript
6232480,Pacman,https://github.com/arjenvanderende/Pacman,0,0,784,
6061220,pacman,https://github.com/rtdinesh/pacman,0,0,160,
4947737,pacman,https://github.com/alexchamberlain/pacman,0,1,8736,C
5035439,pacman,https://github.com/pld-linux/pacman,0,1,92,
7510363,Pacman,https://github.com/CevinEichnau/Pacman,0,0,112,Ruby
6474543,Pacman,https://github.com/kavi112/Pacman,0,0,112,
7773669,Pacman,https://github.com/nforcce/Pacman,0,0,56,
2948824,Pacman,https://github.com/kcuttam/Pacman,0,1,48,
3000811,pacman,https://github.com/Ekareya/pacman,0,1,2244,Java
3445490,PacMan,https://github.com/GustavoEspinoza/PacMan,0,1,96,Java
4420663,pacman,https://github.com/cipriancraciun/pacman,0,1,17648,C
17029864,Pacman,https://github.com/EricZeiberg/Pacman,1,0,140,Java
18927802,Pacman,https://github.com/Nick-Mazuk/Pacman,0,0,2528,JavaScript
18965130,pacman,https://github.com/babacan/pacman,0,1,0,
18112017,Pacman,https://github.com/Zyxer22/Pacman,0,0,11300,Java
19009275,pacman,https://github.com/amberagard/pacman,0,0,180,JavaScript
19006786,pacman,https://github.com/exactlyaaron/pacman,0,0,188,JavaScript
19014482,pacman,https://github.com/AdamKeesecker/pacman,0,0,196,JavaScript
18572730,Pacman,https://github.com/hassanmaher/Pacman,0,1,312,C#
18605894,Pacman,https://github.com/PClmnt/Pacman,0,0,292,C#
36903677,Pacman,https://github.com/Altelus/Pacman,0,0,29032,C++
37448902,Pacman,https://github.com/Jivnesh/Pacman,0,0,0,
37423501,Pacman,https://github.com/PacmanNPU/Pacman,0,0,152,
37539082,PACMAN,https://github.com/EmC14/PACMAN,0,0,264,Ruby
37995615,PacMan,https://github.com/YuliyaKhokhlova/PacMan,0,0,116,
37795905,Pacman,https://github.com/MomotaroTsurugi/Pacman,0,0,0,
